date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:11	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-6b15a90f5ff7884e;gz%22	https://privacydosvazados.site/robots.txt		(from )
19:00:11	75982/75982	---M-Z	200	added ('OK')	text/html	etag:%22128ce-695967d4-3056ce704ec89b33;gz%22	https://privacydosvazados.site/	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/index.html	(from )
19:00:11	320035/320035	---M-Z	200	added ('OK')	application/x-javascript	etag:%224e223-695325e1-574e3f3482a5eb4b;gz%22	https://privacydosvazados.site/js/fbevents.js	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/js/fbevents.js	(from https://privacydosvazados.site/)
19:00:12	14404/14404	---M-Z	200	added ('OK')	text/css	etag:%223844-695325e1-1113bcf976727395;gz%22	https://privacydosvazados.site/css/index.css	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/css/index.css	(from https://privacydosvazados.site/)
19:00:12	9275/9275	---M-Z	200	added ('OK')	text/css	etag:%22243b-695325e1-d0c43f5fda7c63d7;gz%22	https://privacydosvazados.site/css/popup.css	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/css/popup.css	(from https://privacydosvazados.site/)
19:00:12	89160/89160	---M-Z	200	added ('OK')	text/css	etag:%2215c48-695325e1-914f6de949ae5742;gz%22	https://privacydosvazados.site/css/all.min.css	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/css/all.min.css	(from https://privacydosvazados.site/)
19:00:12	433950/433950	---MC-	200	added ('OK')	application/javascript	date:Tue,%2006%20Jan%202026%2022:00:12%20GMT	https://www.googletagmanager.com/gtag/js?id=G-E02EKB0NWJ	C:/Meus%20Sites/PRIVACYTELAA/www.googletagmanager.com/gtag/js7398	(from https://privacydosvazados.site/)
19:00:13	354310/354310	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2006%20Jan%202026%2022:00:13%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/PRIVACYTELAA/connect.facebook.net/en_US/fbevents.js	(from https://privacydosvazados.site/)
19:00:13	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2006%20Jan%202026%2022:00:13%20GMT	https://www.facebook.com/tr?id=1535000241126222&ev=PageView&noscript=1	C:/Meus%20Sites/PRIVACYTELAA/www.facebook.com/tr.62dbc.delayed	(from https://privacydosvazados.site/)
19:00:13	16768/16768	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/PRIVACYTELAA/cdn.utmify.com.br/scripts/utms/latest.js	(from https://privacydosvazados.site/)
19:00:14	23836/23836	---M--	200	added ('OK')	font/woff2	etag:%225d1c-695325e1-3fa9e4a26e6448bb;;;%22	https://privacydosvazados.site/fonts/normal_1.woff2	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/fonts/normal_1.woff2	(from https://privacydosvazados.site/)
19:00:14	7168/7168	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2022:00:14%20GMT	https://www.pay-pagamentos.link/checkout/e9e0f98b-8978-4394-982b-0ffe3b3a6040	C:/Meus%20Sites/PRIVACYTELAA/www.pay-pagamentos.link/checkout/e9e0f98b-8978-4394-982b-0ffe3b3a6040.html	(from https://privacydosvazados.site/)
19:00:14	26476/26476	---M--	200	added ('OK')	font/woff2	etag:%22676c-695325e1-d0ae49d9322b8746;;;%22	https://privacydosvazados.site/fonts/normal.woff2	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/fonts/normal.woff2	(from https://privacydosvazados.site/)
19:00:15	37828/37828	---M--	200	added ('OK')	font/woff2	etag:%2293c4-695325e1-5382eb7bfd7d2b67;;;%22	https://privacydosvazados.site/fonts/normal_2.woff2	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/fonts/normal_2.woff2	(from https://privacydosvazados.site/)
19:00:15	70768/70768	---M--	200	added ('OK')	font/woff2	etag:%2211470-695325e1-735777dc364930ec;;;%22	https://privacydosvazados.site/fonts/normal_3.woff2	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/fonts/normal_3.woff2	(from https://privacydosvazados.site/)
19:00:15	13020/13020	---M--	200	added ('OK')	font/woff2	etag:%2232dc-695325e1-3db82c71da18ea08;;;%22	https://privacydosvazados.site/fonts/normal_4.woff2	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/fonts/normal_4.woff2	(from https://privacydosvazados.site/)
19:00:16	11737/11737	---M--	200	added ('OK')	image/png	etag:%222dd9-695325e1-21faa787c310e0b3;;;%22	https://privacydosvazados.site/images/Untitled%20image%20(25).png	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/images/Untitled%20image%20(25).png	(from https://privacydosvazados.site/)
19:00:16	732383/732383	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b2cdf-695325e1-ab796fd182fee0ca;gz%22	https://privacydosvazados.site/images/privacy-logo.svg	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/images/privacy-logo.svg	(from https://privacydosvazados.site/)
19:00:16	18136/18136	---M--	200	added ('OK')	image/jpeg	etag:%2246d8-695325e1-c8af37345681cec9;;;%22	https://privacydosvazados.site/images/nicolepraia.jpg	C:/Meus%20Sites/PRIVACYTELAA/privacydosvazados.site/images/nicolepraia.jpg	(from https://privacydosvazados.site/)
